total_units,firehouses_used,max_units_per_fh,unit_std,units_in_cbd,units_outside_cbd,fh_in_cbd,fh_outside_cbd,proxy_weighted_rt_min,policy,capacity,K
20,20,1,0.0,9,11,9,11,1.302,P0_spatial,1,20
20,20,1,0.0,10,10,10,10,0.764,P1_demand,1,20
20,20,1,0.0,10,10,10,10,0.731,P2_optimised,1,20
20,20,1,0.0,9,11,9,11,1.302,P0_spatial,2,20
20,18,2,0.323,11,9,10,8,0.824,P1_demand,2,20
20,20,1,0.0,10,10,10,10,0.731,P2_optimised,2,20
20,20,1,0.0,9,11,9,11,1.302,P0_spatial,3,20
20,18,2,0.323,11,9,10,8,0.824,P1_demand,3,20
20,20,1,0.0,10,10,10,10,0.731,P2_optimised,3,20
20,20,1,0.0,9,11,9,11,1.302,P0_spatial,4,20
20,18,2,0.323,11,9,10,8,0.824,P1_demand,4,20
20,20,1,0.0,10,10,10,10,0.731,P2_optimised,4,20
20,20,1,0.0,9,11,9,11,1.302,P0_spatial,5,20
20,18,2,0.323,11,9,10,8,0.824,P1_demand,5,20
20,20,1,0.0,10,10,10,10,0.731,P2_optimised,5,20
40,40,1,0.0,20,20,20,20,0.777,P0_spatial,1,40
40,40,1,0.0,22,18,22,18,0.716,P1_demand,1,40
40,40,1,0.0,21,19,21,19,0.716,P2_optimised,1,40
40,40,1,0.0,20,20,20,20,0.777,P0_spatial,2,40
40,22,2,0.395,20,20,10,12,0.716,P1_demand,2,40
40,29,2,0.494,25,15,16,13,0.716,P2_optimised,2,40
40,40,1,0.0,20,20,20,20,0.777,P0_spatial,3,40
40,22,3,0.853,22,18,10,12,0.716,P1_demand,3,40
40,26,3,0.905,26,14,14,12,0.716,P2_optimised,3,40
40,40,1,0.0,20,20,20,20,0.777,P0_spatial,4,40
40,21,4,0.995,22,18,10,11,0.724,P1_demand,4,40
40,25,4,1.225,25,15,13,12,0.716,P2_optimised,4,40
40,40,1,0.0,20,20,20,20,0.777,P0_spatial,5,40
40,21,4,0.995,22,18,10,11,0.724,P1_demand,5,40
40,24,5,1.523,19,21,11,13,0.716,P2_optimised,5,40
