K,policy,mean_queue_fraction,mean_queue_length,max_queue_length,mean_incidents_queued
10,P0-spatial,5.6785917092561044e-05,1.643099966674056e-05,1,0.03333333333333333
10,P1,5.6785917092561044e-05,1.5404278637836976e-05,1,0.03333333333333333
10,P2,0.0001739505333784427,1.9878866493387107e-05,1,0.1
15,P0-spatial,0.0,0.0,0,0.0
15,P1,0.0,0.0,0,0.0
15,P2,0.0,0.0,0,0.0
20,P0-spatial,0.0,0.0,0,0.0
20,P1,0.0,0.0,0,0.0
20,P2,0.0,0.0,0,0.0
25,P0-spatial,0.0,0.0,0,0.0
25,P1,0.0,0.0,0,0.0
25,P2,0.0,0.0,0,0.0
30,P0-spatial,0.0,0.0,0,0.0
30,P1,0.0,0.0,0,0.0
30,P2,0.0,0.0,0,0.0
35,P0-spatial,0.0,0.0,0,0.0
35,P1,0.0,0.0,0,0.0
35,P2,0.0,0.0,0,0.0
40,P0-spatial,0.0,0.0,0,0.0
40,P1,0.0,0.0,0,0.0
40,P2,0.0,0.0,0,0.0
45,P0-spatial,0.0,0.0,0,0.0
45,P1,0.0,0.0,0,0.0
45,P2,0.0,0.0,0,0.0
48,P0-spatial,0.0,0.0,0,0.0
48,P1,0.0,0.0,0,0.0
48,P2,0.0,0.0,0,0.0
